,countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
1,USA,2019-01-01,21374418877706.7,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
2,USA,2018-01-01,20529049174601.5,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
3,USA,2017-01-01,19485393853000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
4,USA,2016-01-01,18707188235000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
5,USA,2015-01-01,18219297584000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
6,USA,2014-01-01,17521746534000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
7,USA,2013-01-01,16784849190000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
8,USA,2012-01-01,16197007349000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
9,USA,2011-01-01,15542581104000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
10,USA,2010-01-01,14992052727000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
11,USA,2009-01-01,14448933025000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
12,USA,2008-01-01,14712844084000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
13,USA,2007-01-01,14451858650000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
14,USA,2006-01-01,13814611414000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
15,USA,2005-01-01,13036640229000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
16,USA,2004-01-01,12213729147000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
17,USA,2003-01-01,11458243878000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
18,USA,2002-01-01,10936419054000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
19,USA,2001-01-01,10581821399000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
20,USA,2000-01-01,10252345464000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
21,USA,1999-01-01,9630664202000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
22,USA,1998-01-01,9062818211000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
23,USA,1997-01-01,8577554463000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
24,USA,1996-01-01,8073122000000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
25,USA,1995-01-01,7639749000000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
26,USA,1994-01-01,7287236000000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
27,USA,1993-01-01,6858559000000.0,,,0,NY.GDP.MKTP.CD,GDP (current US$),US,United States
